ID,Épica,Historia,Criterios de aceptación,Responsable,Puntos,Sprint,MoSCoW,Dependencias
E0-01,E0 Fundaciones,"Repositorio GitHub configurado con main protegida, CODEOWNERS y CI",CI verde en un PR de prueba; nadie puede mergear sin aprobación,Dueño+BE,2,S0,Must,
E0-02,E0 Fundaciones,Entorno local completo con `make up` en ambas máquinas,"Tienda, panel, motorizado, API, MySQL, Redis, Reverb y Mailpit levantan; `make test` verde",BE+FE,3,S0,Must,E0-01
E0-03,E0 Fundaciones,"Esqueleto Laravel con módulos, deptrac, phpstan, pint",`deptrac analyse` y `phpstan` en verde; `make:module` funciona,BE,3,S0,Must,E0-02
E0-04,E0 Fundaciones,"Workspace Angular con 3 apps, 5 libs, ESLint, strict, PWA",Las 3 apps compilan; `ng lint` y `ng test` verdes; tokens aplicados,FE,5,S0,Must,E0-02
E0-05,E0 Fundaciones,Cliente API generado desde OpenAPI y pipeline de contrato,`npm run api:generate` produce tipos; CI falla si el cliente no está actualizado,FE,2,S0,Must,E0-04
E0-06,E0 Fundaciones,"Integrar Shared (outbox, idempotencia, errores, auditoría, configuración)","Pruebas de Outbox, IdempotencyKey y Dinero en verde en CI",BE,5,S0,Must,E0-03
E0-07,E0 Fundaciones,"Integrar Identidad (login usuario/contraseña, MFA admin, roles)",5 pruebas de LoginTest en verde; seeder de usuarios en local,BE,3,S0,Must,E0-06
E0-08,E0 Fundaciones,Login en panel y app motorizado con flujo MFA,"Login con usuario/contraseña; QR y código para admin; interceptores de token, trace y errores; guard por rol",FE,5,S0,Must,"E0-05,E0-07"
E0-09,E0 Fundaciones,"ADR-009 despliegue y mapas, ADR-010 observabilidad, ADR-011 correo",Tres ADRs aprobados por el dueño; proveedor VPS y dominio contratados,BE+Dueño,2,S0,Must,
E0-10,E0 Fundaciones,"Design system base: botón, campo, selector cantidad, chip estado, toast, diálogo, esqueletos",Storybook o página demo con todos los estados; axe sin errores,FE,5,S0,Must,E0-04
